fonction,indemnite_responsabilite
Administrateur des Secrétariats permanents,15000
Aide de camp du Premier Ministre,32500
Aide de camp du Président du Faso,35000
Agent comptable central du trésor,120000
Agent judiciaire adjoint du Trésor,40000
Agent judiciaire du Trésor,40000
Assistant du Directeur de cabinet,10500
Attaché de mission du premier ministère,33000
"Attaché de mission, attaché de presse et chef",15000
Caissier de la paierie générale,35000
Caissier principal,20000
Caissier secondaire,14000
Autres caissiers,35000
Caissier des trésoreries principales,25000
Caissier des trésoreries régionales,30000
Chef d'établissement CFJA,6500
Directeur d'école primaire ou,6500
Inspecteur de la garde de sécurité pénitentiaire,6500
Receveur des créances diverses,25000
Censeur d'établissement secondaire,10500
Chargé d’Etudes nommé par décret,15000
Chargé de mission des ministères et,21500
Chargé de mission (CSC),21500
Chef d'antenne régional (Présidence du Faso),15000
Chef de Bureau MICA,10500
Chef de cabinet ministre délégué,10500
Chef de cabinet de gouverneur,10500
Chef de cabinet des ministères et institutions,15000
Chef de cabinet du Premier Ministre,15000
Chef de cabinet du Président du Faso,17500
Chef de département (CES),15000
Chef de secrétariat de parquet des hautes,15000
Chef de sécurité du Premier Ministre,33000
Chef de service nommé par arrêté,10500
Chef de service nommé par décision,6500
"Chef de division fiscale, chef de brigade de",10500
Chef de département de la Présidence du Faso,40000
Chefs des travaux des lycées et des collèges,10500
Conseiller technique du Premier Ministre,40000
Conseiller technique de gouverneur,18500
Contrôleur d'Etat,285000
Contrôleur financier central (DGCMEF),68000
Contrôleur financier des ministères et,20000
Contrôleur financier régional (DR-CMEF),38000
Contrôleur financier suppléant (DGA-CMEF),47500
"Directeur central (DRH, DCPM…)",18500
Directeur Centre Pénitentiaire Agricole de,18500
Directeur de Cabinet des Présidents,67500
Directeur de cabinet du Premier Ministre,82500
Directeur de cabinet du Président du Faso,85000
Directeur de la communication du Premier,18500
"Directeur des marchés publics, PRM",15000
Directeur général,28000
Directeur Général de service ayant la qualité,88000
Directeur de service ayant la qualité,40000
Directeur Régional,28000
Directeur régional ayant la qualité,10500
Fondé de pouvoirs des Trésoriers Régionaux,61500
Greffier de chambre des Hautes Juridictions,15000
Greffier des Hautes Juridictions,10000
Greffier en chef,7500
Greffier en chef (Conseil Constitutionnel),20000
Chef de greffe des Cours et Tribunaux,12500
